Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6158e-01,0.39,0.36,0.11,0.0055
-1.6157e-01,0.39,0.36,0.07,0.0035
-1.6155e-01,0.39,0.36,0.07,0.0055
-1.6154e-01,0.39,0.32,0.11,0.0055
-1.6152e-01,0.39,0.32,0.11,0.0055
-1.6150e-01,0.39,0.36,0.11,0.0055
-1.6149e-01,0.39,0.36,0.11,0.0055
-1.6147e-01,0.35,0.4,0.07,0.0055
-1.6146e-01,0.39,0.36,0.11,0.0055
-1.6144e-01,0.39,0.32,0.11,0.0055
-1.6142e-01,0.39,0.36,0.07,0.0055
-1.6141e-01,0.39,0.4,0.07,0.0055
-1.6139e-01,0.39,0.36,0.11,0.0055
-1.6138e-01,0.39,0.32,0.07,0.0055
-1.6136e-01,0.39,0.36,0.11,0.0055
-1.6134e-01,0.35,0.4,0.11,0.0055
-1.6133e-01,0.39,0.36,0.07,0.0055
-1.6131e-01,0.39,0.36,0.07,0.0055
-1.6130e-01,0.39,0.36,0.11,0.0035
-1.6128e-01,0.39,0.36,0.07,0.0055
-1.6126e-01,0.39,0.36,0.11,0.0055
-1.6125e-01,0.39,0.36,0.11,0.0055
-1.6123e-01,0.39,0.4,0.11,0.0055
-1.6122e-01,0.39,0.36,0.11,0.0055
-1.6120e-01,0.39,0.36,0.11,0.0055
-1.6118e-01,0.83,0.36,0.39,0.0135
-1.6117e-01,0.83,0.36,0.39,0.0115
-1.6115e-01,0.79,0.36,0.39,0.0155
-1.6114e-01,0.79,0.36,0.35,0.0175
-1.6112e-01,0.79,0.36,0.39,0.0155
-1.6110e-01,0.79,0.32,0.39,0.0155
-1.6109e-01,0.79,0.36,0.39,0.0155
-1.6107e-01,0.79,0.36,0.39,0.0155
-1.6106e-01,0.79,0.4,0.39,0.0155
-1.6104e-01,0.79,0.36,0.39,0.0155
-1.6102e-01,0.79,0.36,0.39,0.0155
-1.6101e-01,0.79,0.36,0.39,0.0155
-1.6099e-01,0.79,0.36,0.35,0.0155
-1.6098e-01,0.79,0.36,0.39,0.0155
